Trial,Seed,Parameters,Algorithm,Instance,Base,Flight Limit,Trucks Used,Trucks Submitted,Objective,Paper Makespan,Time,Flight Optimizer,Convergence Iterations,Convergence Count,Convergence First Objective,Convergence Final Objective,Convergence Improvement,Convergence Improvement Percent
50,1,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_4_2.dat,24,1010.000000,3,3,2541.704806,2541.704806,184.735743,bc,initial_pool@0;candidate1:lns@8;candidate1:lns@43;candidate1:candidate_vnd@200;candidate1:splitting@1,5,2764.169709,2541.704806,222.464902,8.048164
51,2,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_4_2.dat,24,1010.000000,3,3,2583.501296,2583.501296,163.051912,bc,initial_pool@0;candidate1:lns@168;candidate1:lns@171;candidate1:candidate_vnd@200;candidate6:lns@39;candidate6:candidate_vnd@200;candidate9:lns@46;candidate9:candidate_vnd@200;candidate1:splitting@1,9,2790.383752,2583.501296,206.882456,7.414122
52,0,vnd_default,vnd,MTLARP5_5_4_2.dat,24,1010.000000,3,3,2620.279150,2620.279150,134.059764,bc,0;1,2,2620.279150,2620.279150,0.000000,0.000000
53,1,vnd_default,vnd,MTLARP5_5_4_2.dat,24,1010.000000,3,3,2583.501296,2583.501296,131.289486,bc,0;1,2,2764.169709,2583.501296,180.668413,6.536082
54,2,vnd_default,vnd,MTLARP5_5_4_2.dat,24,1010.000000,3,3,2667.548599,2667.548599,134.645153,bc,0;1,2,2790.383752,2667.548599,122.835153,4.402088
55,0,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_1.dat,20,955.000000,2,2,2607.541971,2607.541971,74.392948,bc,initial@0;improvement@19;improvement@29;restart_elite@59;restart_new_pool@89;final@100,6,2608.569521,2607.541971,1.027549,0.039391
56,1,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_1.dat,20,955.000000,2,2,2608.569521,2608.569521,81.075047,bc,initial@0;restart_elite@30;restart_elite@60;restart_elite@90;final@100,5,2608.569521,2608.569521,0.000000,0.000000
57,2,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_1.dat,20,955.000000,2,2,2612.560813,2612.560813,56.133882,bc,initial@0;restart_new_pool@30;improvement@56;improvement@56;improvement@71;final@100,6,2648.198839,2612.560813,35.638026,1.345746
58,0,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_1.dat,20,955.000000,2,2,2608.569521,2608.569521,51.882735,bc,initial_pool@0,1,2608.569521,2608.569521,0.000000,0.000000
59,1,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_1.dat,20,955.000000,2,2,2608.569521,2608.569521,46.038126,bc,initial_pool@0,1,2608.569521,2608.569521,0.000000,0.000000
60,2,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_1.dat,20,955.000000,2,2,2607.730783,2607.730783,49.175506,bc,initial_pool@0;candidate1:lns@169;candidate1:candidate_vnd@200,3,2648.198839,2607.730783,40.468057,1.528135
61,0,vnd_default,vnd,MTLARP5_5_5_1.dat,20,955.000000,2,2,2608.569521,2608.569521,33.624086,bc,0;1,2,2608.569521,2608.569521,0.000000,0.000000
62,1,vnd_default,vnd,MTLARP5_5_5_1.dat,20,955.000000,2,2,2608.569521,2608.569521,36.104469,bc,0;1,2,2608.569521,2608.569521,0.000000,0.000000
63,2,vnd_default,vnd,MTLARP5_5_5_1.dat,20,955.000000,2,2,2648.198839,2648.198839,30.469040,bc,0;1,2,2648.198839,2648.198839,0.000000,0.000000
64,0,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_1.dat,20,955.000000,3,3,1953.737683,1953.737683,61.327621,bc,initial@0;restart_new_pool@30;improvement@51;restart_elite@81;final@100,5,1954.037367,1953.737683,0.299684,0.015337
65,1,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_1.dat,20,955.000000,3,3,1812.450361,1812.450361,57.799043,bc,initial@0;restart_elite@30;improvement@40;restart_elite@70;restart_elite@100;final_splitting@100,6,1839.010276,1812.450361,26.559915,1.444250
66,2,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_1.dat,20,955.000000,3,3,1737.218417,1737.218417,72.011149,bc,initial@0;improvement@19;improvement@26;improvement@26;restart_new_pool@56;restart_new_pool@86;final@100,7,1839.010276,1737.218417,101.791859,5.535144
67,0,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_1.dat,20,955.000000,3,3,1765.082844,1765.082844,61.331358,bc,initial_pool@0;candidate2:lns@16;candidate2:lns@25;candidate2:candidate_vnd@200;candidate6:candidate_vnd@200;candidate7:lns@63;candidate7:candidate_vnd@200;candidate1:splitting@1;candidate7:splitting@7,9,1954.037367,1765.082844,188.954523,9.669954
68,1,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_1.dat,20,955.000000,3,3,1737.218417,1737.218417,60.128683,bc,initial_pool@0;candidate1:lns@19;candidate1:candidate_vnd@200;candidate3:lns@191;candidate3:candidate_vnd@200,5,1839.010276,1737.218417,101.791859,5.535144
69,2,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_1.dat,20,955.000000,3,3,1737.218417,1737.218417,61.273125,bc,initial_pool@0;candidate1:lns@2;candidate1:lns@12;candidate1:candidate_vnd@200,4,1839.010276,1737.218417,101.791859,5.535144
70,0,vnd_default,vnd,MTLARP5_5_5_1.dat,20,955.000000,3,3,1765.082844,1765.082844,44.361076,bc,0;1,2,1954.037367,1765.082844,188.954523,9.669954
71,1,vnd_default,vnd,MTLARP5_5_5_1.dat,20,955.000000,3,3,1839.010276,1839.010276,42.129209,bc,0;1,2,1839.010276,1839.010276,0.000000,0.000000
72,2,vnd_default,vnd,MTLARP5_5_5_1.dat,20,955.000000,3,3,1839.010276,1839.010276,46.530085,bc,0;1,2,1839.010276,1839.010276,0.000000,0.000000
73,0,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_1.dat,20,955.000000,4,4,1462.805314,1462.805314,71.550633,bc,initial@0;restart_elite@30;restart_elite@60;restart_elite@90;final@100,5,1462.805314,1462.805314,0.000000,0.000000
74,1,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_1.dat,20,955.000000,4,4,1462.805314,1462.805314,73.564190,bc,initial@0;restart_elite@30;restart_elite@60;restart_elite@90;final@100,5,1462.805314,1462.805314,0.000000,0.000000
75,2,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_1.dat,20,955.000000,4,4,1462.805314,1462.805314,86.633125,bc,initial@0;restart_elite@30;restart_elite@60;restart_elite@90;final@100,5,1462.805314,1462.805314,0.000000,0.000000
76,0,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_1.dat,20,955.000000,4,4,1460.362096,1460.362096,87.317039,bc,initial_pool@0;candidate6:splitting@6,2,1462.805314,1460.362096,2.443219,0.167023
77,1,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_1.dat,20,955.000000,4,4,1462.805314,1462.805314,79.965801,bc,initial_pool@0,1,1462.805314,1462.805314,0.000000,0.000000
78,2,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_1.dat,20,955.000000,4,4,1462.805314,1462.805314,85.511888,bc,initial_pool@0,1,1462.805314,1462.805314,0.000000,0.000000
79,0,vnd_default,vnd,MTLARP5_5_5_1.dat,20,955.000000,4,4,1460.428753,1460.428753,61.104512,bc,0;1,2,1462.805314,1460.428753,2.376561,0.162466
80,1,vnd_default,vnd,MTLARP5_5_5_1.dat,20,955.000000,4,4,1462.805314,1462.805314,87.054285,bc,0;1,2,1462.805314,1462.805314,0.000000,0.000000
81,2,vnd_default,vnd,MTLARP5_5_5_1.dat,20,955.000000,4,4,1445.210914,1445.210914,64.825538,bc,0;1,2,1462.805314,1445.210914,17.594400,1.202785
82,0,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_2.dat,25,988.000000,2,2,4328.837461,4328.837461,165.633502,bc,initial@0;improvement@27;restart_elite@57;restart_new_pool@87;final@100,5,4341.717303,4328.837461,12.879842,0.296653
83,1,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_2.dat,25,988.000000,2,2,4304.424032,4304.424032,128.330864,bc,initial@0;restart_elite@30;restart_new_pool@60;improvement@63;restart_new_pool@93;final@100,6,4341.717303,4304.424032,37.293271,0.858952
84,2,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_5_2.dat,25,988.000000,2,2,4328.837461,4328.837461,119.756659,bc,initial@0;improvement@20;improvement@23;restart_elite@53;restart_elite@83;final@100,6,4356.157604,4328.837461,27.320143,0.627161
85,0,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_2.dat,25,988.000000,2,2,4132.512837,4132.512837,113.856895,bc,initial_pool@0;candidate3:lns@150;candidate3:candidate_vnd@200;candidate5:lns@109;candidate5:candidate_vnd@200;candidate3:splitting@3,6,4341.717303,4132.512837,209.204466,4.818473
86,1,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_2.dat,25,988.000000,2,2,4299.761945,4299.761945,46.230798,bc,initial_pool@0;candidate1:lns@11;candidate1:candidate_vnd@200;candidate1:splitting@1,4,4341.717303,4299.761945,41.955358,0.966331
87,2,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_5_2.dat,25,988.000000,2,2,4299.761945,4299.761945,93.532400,bc,initial_pool@0;candidate1:lns@9;candidate1:lns@52;candidate1:candidate_vnd@200;candidate1:splitting@1,5,4356.157604,4299.761945,56.395660,1.294619
88,0,vnd_default,vnd,MTLARP5_5_5_2.dat,25,988.000000,2,2,4132.512837,4132.512837,66.533428,bc,0;1,2,4341.717303,4132.512837,209.204466,4.818473
89,1,vnd_default,vnd,MTLARP5_5_5_2.dat,25,988.000000,2,2,4157.002613,4157.002613,78.905916,bc,0;1,2,4341.717303,4157.002613,184.714690,4.254415
90,2,vnd_default,vnd,MTLARP5_5_5_2.dat,25,988.000000,2,2,4278.619355,4278.619355,117.455587,bc,0;1,2,4356.157604,4278.619355,77.538250,1.779969
